epoch,time_completed,log_loss,accuracy,auc,precision,recall,f1
1,2019-04-25 22:41:19,0.6562526513316335,0.7849766586504456,0.6733842733699366,0.6572707155084062,0.5543581047993609,0.552135286081418
2,2019-04-25 22:41:40,0.625609268172827,0.793181496675626,0.6942437876637084,0.7069120498093102,0.5498960431497627,0.5415806149873992
3,2019-04-25 22:42:16,0.6002066645110947,0.7968595275145,0.710929511119607,0.731836984886431,0.5541352642639772,0.5476294033909109
4,2019-04-25 22:42:52,0.5798436217647679,0.795020512095063,0.7085408635380493,0.730054197053202,0.5468120292589564,0.535022140168637
5,2019-04-25 22:43:27,0.5621194584498835,0.795161974819635,0.7147278891095464,0.7365424398544451,0.5450100711886127,0.5315147380981934
6,2019-04-25 22:44:02,0.5474098886968324,0.7960107511670674,0.7206741973433775,0.7478490556193258,0.5448421000463735,0.530719282466949
7,2019-04-25 22:44:37,0.5339026555876395,0.797000990239072,0.7236465254694283,0.7472904753929708,0.5487853804336924,0.5377385725010908
8,2019-04-25 22:45:10,0.5222388356987295,0.7968595275145,0.732335064374188,0.7505005033168896,0.5472759411280911,0.5349456306416753
9,2019-04-25 22:45:27,0.5128130174236295,0.7974253784127883,0.7356360188656315,0.7524347757114268,0.5488196590545709,0.5375888935178079
10,2019-04-25 22:45:44,0.5044093709557612,0.7979912293110766,0.7385072221101235,0.7611473836118934,0.548471149909082,0.5366351958753801
11,2019-04-25 22:46:00,0.4976888341421554,0.7984156174847927,0.7398583071671228,0.76694428209624,0.5485054285299604,0.5364785330867864
12,2019-04-25 22:46:20,0.49196286565900976,0.797000990239072,0.7405943240267763,0.7601587258501231,0.5452374546737513,0.5309296286816871
13,2019-04-25 22:46:56,0.48682394765832837,0.7979912293110766,0.7412737605122088,0.7669870734735036,0.5470519796051055,0.5339060621339642
14,2019-04-25 22:47:31,0.4825405012829366,0.7968595275145,0.7413934111888721,0.761452800977513,0.5444376005201382,0.5294437552960897
15,2019-04-25 22:48:06,0.4786021034832064,0.7978497665865044,0.744401964914268,0.7694932683177635,0.5460155970674965,0.5319687643760693
16,2019-04-25 22:48:41,0.474673728310104,0.798981468383081,0.7468485498550387,0.7769484463324761,0.5481569193844716,0.5355059249872316
17,2019-04-25 22:49:17,0.47150108557890624,0.7974253784127883,0.7488993671729991,0.7719759062454505,0.5440890913746494,0.528422460989181
18,2019-04-25 22:49:54,0.46814454340255146,0.7972839156882161,0.7506027963330726,0.7656642766470909,0.5449449359090088,0.5301946803200336
19,2019-04-25 22:50:19,0.46588156707579587,0.7984156174847927,0.7515620667235421,0.7732540223840123,0.547086258225984,0.5337391749907485
20,2019-04-25 22:50:35,0.4637161839934147,0.7982741547602207,0.7521674000285556,0.7704141468186412,0.5472325176083552,0.5341009090593125
